Item,Count/pack,QTY needed,Packs,Cost(AUD),Shipping(AUD),Total(AUD),Total(USD),Link,Notes
PCB,5,1,1,4.27,2.1,6.37,4.54,JLCpcb.com,
Switches,10,4,1,4.75,0,4.75,,https://www.aliexpress.com/item/1005006425450443.html?aem_p4p_detail=20260528070825379062850901470000812393&algo_pvid=6eac573d-10ba-4d88-a251-f09167cdd842&algo_exp_id=6eac573d-10ba-4d88-a251-f09167cdd842-23&pdp_ext_f=%7B%22order%22%3A%221738%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%214.75%211.41%21%21%2122.60%216.72%21%40210328db17799773057932481e8e27%2112000037120671469%21sea%21AU%216138339337%21X%211%210%21n_tag%3A-29919%3Bd%3Ac34077ee%3Bm03_new_user%3A-29895%3BpisId%3A5000000204059337&curPageLogUid=G5LWjAJf66HO&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006425450443%7C_p_origin_prod%3A&search_p4p_id=20260528070825379062850901470000812393_6,
EC11 encoder,5,2,1,6.26,0,6.26,,https://www.aliexpress.com/item/1005008583446552.html?algo_pvid=c3f9c061-0fd0-4f4a-95ff-5c3e36bec910&algo_exp_id=c3f9c061-0fd0-4f4a-95ff-5c3e36bec910-1&pdp_ext_f=%7B%22order%22%3A%22890%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%213.65%211.41%21%21%212.56%210.99%21%402103128917799774199941692e8a3b%2112000045835073062%21sea%21AU%216138339337%21X%211%210%21n_tag%3A-29919%3Bd%3Ac34077ee%3Bm03_new_user%3A-29895%3BpisId%3A5000000204059337&curPageLogUid=EXzHQf5GNgBM&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008583446552%7C_p_origin_prod%3A,
Taranium-RP2040,1,1,1,N/a,N/a,N/a,N/a,https://github.com/Taran-the-Idiot/Taranium-RP2040,Not Commercially available
N20 Motors,1,2,2,3.27,0,6.54,,https://www.aliexpress.com/item/1005009244646007.html?algo_pvid=0ee5785b-cf3b-4e6e-8182-d27c720e51fa&algo_exp_id=0ee5785b-cf3b-4e6e-8182-d27c720e51fa-1&pdp_ext_f=%7B%22order%22%3A%2292%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%216.81%211.41%21%21%2132.36%216.69%21%40210328d417799776761614649e1d07%2112000048450420463%21sea%21AU%216138339337%21X%211%210%21n_tag%3A-29919%3Bd%3Ac34077ee%3Bm03_new_user%3A-29895%3BpisId%3A5000000204059337&curPageLogUid=rc6I8zs0JHR2&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009244646007%7C_p_origin_prod%3A,
L293D,5,1,1,3.59,0,3.59,,https://www.aliexpress.com/item/1005010400118009.html?algo_pvid=1d5a83a6-2e25-4fc1-83b2-14fbf2c2c82a&algo_exp_id=1d5a83a6-2e25-4fc1-83b2-14fbf2c2c82a-0&pdp_ext_f=%7B%22order%22%3A%22157%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%213.58%211.41%21%21%2117.01%216.69%21%402103123917799778352857051edb9c%2112000052283568710%21sea%21AU%216138339337%21X%211%210%21n_tag%3A-29919%3Bd%3Ac34077ee%3Bm03_new_user%3A-29895%3BpisId%3A5000000204059337&curPageLogUid=J6RLGmCUfqa4&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010400118009%7C_p_origin_prod%3A,
M3X5X4 Heatset Inserts,50,8,1,3.61,0,3.61,,https://www.aliexpress.com/item/1005003582355741.html?algo_pvid=2c3921f8-9ce4-4c2b-99d0-9135741b56ee&algo_exp_id=2c3921f8-9ce4-4c2b-99d0-9135741b56ee-1&pdp_ext_f=%7B%22order%22%3A%2266300%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%212.58%211.41%21%21%2112.25%216.69%21%402103123917799778966402429edc01%2112000026370649739%21sea%21AU%216138339337%21X%211%210%21n_tag%3A-29919%3Bd%3Ac34077ee%3Bm03_new_user%3A-29895%3BpisId%3A5000000204059337&curPageLogUid=jOwKhSwtq9o8&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003582355741%7C_p_origin_prod%3A,
M3x16mm Screw,50,2,1,3.22,0,3.22,,https://www.aliexpress.com/item/4001199728978.html?algo_pvid=062e496a-bdc5-4c1c-89d0-1ab4981b1094&aem_p4p_detail=202605282216169273763264068760001401936&algo_exp_id=062e496a-bdc5-4c1c-89d0-1ab4981b1094-11&pdp_ext_f=%7B%22order%22%3A%2215938%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%211.91%211.40%21%21%211.35%210.99%21%4021030a4b17800317766066984e5569%2110000015289904574%21sea%21AU%216138339337%21X%211%210%21n_tag%3A-29919%3Bd%3Ac34077ee%3Bm03_new_user%3A-29895%3BpisId%3A5000000204059337&curPageLogUid=J1RTS7lEbgbp&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4001199728978%7C_p_origin_prod%3A&search_p4p_id=202605282216169273763264068760001401936_4,
M3x25mm Screw,50,2,1,4,0,4,,https://www.aliexpress.com/item/4001199728978.html?algo_pvid=062e496a-bdc5-4c1c-89d0-1ab4981b1094&aem_p4p_detail=202605282216169273763264068760001401936&algo_exp_id=062e496a-bdc5-4c1c-89d0-1ab4981b1094-11&pdp_ext_f=%7B%22order%22%3A%2215938%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%211.91%211.40%21%21%211.35%210.99%21%4021030a4b17800317766066984e5569%2110000015289904574%21sea%21AU%216138339337%21X%211%210%21n_tag%3A-29919%3Bd%3Ac34077ee%3Bm03_new_user%3A-29895%3BpisId%3A5000000204059337&curPageLogUid=J1RTS7lEbgbp&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4001199728978%7C_p_origin_prod%3A&search_p4p_id=202605282216169273763264068760001401936_4,
M3x6mm Screws,50,4,1,2.55,0,2.55,,https://www.aliexpress.com/item/4001199728978.html?algo_pvid=062e496a-bdc5-4c1c-89d0-1ab4981b1094&aem_p4p_detail=202605282216169273763264068760001401936&algo_exp_id=062e496a-bdc5-4c1c-89d0-1ab4981b1094-11&pdp_ext_f=%7B%22order%22%3A%2215938%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%211.91%211.40%21%21%211.35%210.99%21%4021030a4b17800317766066984e5569%2110000015289904574%21sea%21AU%216138339337%21X%211%210%21n_tag%3A-29919%3Bd%3Ac34077ee%3Bm03_new_user%3A-29895%3BpisId%3A5000000204059337&curPageLogUid=J1RTS7lEbgbp&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4001199728978%7C_p_origin_prod%3A&search_p4p_id=202605282216169273763264068760001401936_5,
3D Printed Parts,,13,,N/A,N/A,,,YOUR PRINTER,Cost depends on filament used.
Total,,,,,,40.89,29.2993206,,